SIMPLE                           ,3301naoki,Aaron-GMM,Arthur32p,Blackberry216,Brieloki,Daniel-jacodev,DevJLucasTM,DevJulioEmanuel,EstherAzevedo,GerasDeveloper,Henriwi-MS,JessLim2003,KauaLemos,KpSantiago,Luishma34,Pri-Holanda,RafaelSantosS12,Ricardolg11,SabrinaDamascenoDev,Sinh-0,Temporary95Name,Vitoria-Rabelo,Wallisonnobrex,alvwsk,atilacalisto,caduteix,ceciliaabintes,eduspicod,evyhdev,gabreidiasvl,jardesonmagalhaes,joAo-dav1,mateus124,narciso-roberto,rgcastrof,ruan-raujo,vistomia
=:1:revisão-fup==================,      118,      132,      129,          095,     116,           125,        074,            129,          103,           080,       075,        118,      062,       108,      133,        116,            061,        114,                132,   073,            000,           126,           000,   117,         129,     061,           083,      106,    103,         094,              113,      118,      129,            129,      090,       103,     121
=:1:análise-otimizando-resoluções,      097,      106,      095,          082,     078,           065,        033,            077,          073,           102,       045,        123,      019,       082,      116,        116,            050,        087,                106,   064,            000,           098,           000,   079,         026,     082,           027,      085,    065,         035,              100,      099,      096,            091,      030,       080,     092
=:1:recursão=====================,      068,      070,      121,          071,     067,           085,        052,            044,          061,           069,       045,        081,      030,       046,      082,        074,            049,        058,                091,   048,            000,           092,           000,   055,         045,     063,           018,      100,    074,         020,              061,      074,      084,            065,      027,       047,     068
=:1:busca-em-profundidade========,      051,      127,      124,          024,     081,           055,        015,            052,          098,           063,       057,        121,      028,       051,      127,        128,            014,        035,                108,   028,            000,           090,           000,   028,         069,     061,           007,      048,    051,         025,              096,      103,      127,            110,      040,       051,     028
=:1:busca-em-largura---bfs=======,      000,      040,      000,          000,     000,           000,        000,            000,          000,           039,       000,        096,      000,       000,      120,        000,            000,        000,                033,   000,            000,           039,           000,   000,         040,     114,           000,      033,    000,         000,              039,      066,      118,            000,      051,       000,     000
=:1:backtracking=================,      000,      029,      000,          000,     000,           000,        032,            000,          022,           074,       000,        048,      000,       000,      033,        000,            000,        000,                050,   027,            000,           000,           000,   000,         000,     000,           000,      014,    000,         059,              135,      041,      008,            000,      055,       000,     000
=:1:vetor========================,      087,      100,      096,          083,     060,           070,        021,            051,          075,           084,       025,        097,      025,       066,      100,        042,            022,        063,                090,   039,            000,           091,           000,   072,         098,     056,           014,      073,    050,         069,              049,      085,      088,            097,      038,       021,     092
=:1:lista========================,      076,      088,      090,          066,     015,           080,        000,            078,          058,           115,       000,        118,      000,       082,      095,        054,            030,        061,                093,   039,            000,           081,           000,   057,         000,     087,           006,      073,    000,         041,              077,      111,      087,            066,      064,       000,     034
=:1:deque-pilha-e-fila===========,      042,      078,      096,          055,     041,           014,        000,            026,          060,           094,       000,        000,      000,       043,      078,        078,            024,        000,                098,   000,            000,           086,           000,   000,         076,     014,           000,      074,    000,         030,              014,      000,      096,            078,      069,       000,     000
=:1:ordenação====================,      000,      000,      022,          000,     008,           000,        031,            000,          000,           073,       000,        000,      000,       000,      100,        023,            000,        000,                023,   000,            000,           000,           000,   000,         000,     000,           063,      071,    000,         002,              000,      031,      000,            000,      000,       007,     000
=:1:árvore=======================,      000,      005,      004,          000,     000,           000,        000,            002,          000,           040,       000,        000,      000,       000,      000,        000,            000,        000,                000,   000,            000,           046,           000,   000,         000,     000,           000,      045,    000,         021,              000,      000,      005,            000,      006,       000,     000
=:1:recursão-padrões-e-conceitos=,      000,      000,      000,          000,     000,           000,        000,            000,          000,           000,       000,        000,      000,       000,      000,        000,            000,        000,                000,   000,            000,           000,           000,   000,         000,     000,           000,      000,    000,         000,              000,      000,      000,            000,      000,       000,     000
=:1:pilha-e-fila=================,      000,      000,      000,          000,     000,           000,        000,            000,          000,           000,       000,        000,      000,       000,      000,        000,            000,        000,                000,   000,            000,           000,           000,   000,         000,     000,           000,      000,    000,         000,              000,      000,      000,            000,      000,       000,     000
