SIMPLE                           ,Beeatriz-Castro,CarlaCristinaSA,ClidenorFilho,Douglas-glith,EduardoAlmeida10,Emilly-Pinheiro,GuibasURL,HenriqueSenaDev,JGCL24,Joao-Vitor-Rd,KeltonMartins,Layssaoliveira26,Lipez-x,Paulo-Sergio-Oliveira,Randson-Silva,TobiasTac,Victorbvc,abebuh21,alvesmaarcos,anaradlei,annabeatryz31,cauanrricardo,davyanastaciodev,dsfacundo,eduardaffreitas,fco-henrique,gabrielrbsousa,harielfr,higormcarnauba,jppiauilino,kawantorres,kaylannesatiro,lizandrapinheiro,mczm9,pamellaneco,rudriguu2099
=:1:revisão-fup==================,            119,            022,          088,          053,             117,            129,      097,            123,   111,          124,          120,             124,    122,                  133,          129,      129,      094,     069,         112,      064,          075,          112,             000,      130,            063,         125,           021,     087,           113,        112,        053,           072,             129,  095,        110,         092
=:1:análise-otimizando-resoluções,            072,            000,          085,          082,             093,            091,      075,            096,   113,          097,          105,             094,    096,                  121,          016,      083,      058,     014,         073,      011,          060,          097,             000,      085,            000,         096,           000,     088,           109,        092,        081,           000,             102,  075,        066,         101
=:1:recursão=====================,            076,            000,          051,          062,             079,            026,      078,            080,   066,          069,          083,             047,    093,                  098,          062,      078,      063,     024,         100,      029,          025,          070,             000,      072,            000,         034,           000,     029,           082,        032,        018,           023,             059,  051,        084,         077
=:1:busca-em-profundidade========,            041,            000,          094,          051,             059,            122,      028,            056,   000,          122,          124,             127,    122,                  128,          126,      101,      119,     000,         110,      028,          047,          044,             000,      100,            000,         028,           000,     000,           097,        069,        024,           031,             070,  043,        024,         040
=:1:busca-em-largura---bfs=======,            000,            000,          000,          000,             033,            000,      000,            000,   000,          080,          033,             040,    000,                  040,          000,      000,      000,     000,         033,      000,          000,          000,             000,      033,            000,         000,           000,     000,           000,        000,        000,           000,             000,  018,        000,         000
=:1:backtracking=================,            000,            000,          027,          027,             052,            000,      000,            000,   000,          050,          031,             050,    000,                  066,          014,      000,      027,     000,         044,      000,          000,          000,             000,      042,            000,         000,           000,     000,           000,        076,        000,           000,             000,  022,        000,         027
=:1:vetor========================,            054,            000,          069,          085,             093,            063,      040,            097,   050,          098,          090,             064,    097,                  100,          091,      052,      049,     000,         063,      061,          041,          076,             000,      077,            000,         000,           000,     011,           096,        071,        043,           021,             100,  076,        021,         098
=:1:lista========================,            013,            000,          050,          055,             065,            045,      043,            034,   013,          072,          084,             058,    092,                  111,          097,      002,      049,     000,         050,      064,          030,          068,             000,      079,            000,         000,           000,     000,           084,        069,        000,           000,             097,  047,        000,         062
=:1:deque-pilha-e-fila===========,            000,            000,          012,          074,             078,            035,      000,            041,   000,          094,          054,             071,    072,                  100,          099,      017,      064,     000,         067,      019,          085,          006,             000,      082,            000,         000,           000,     000,           037,        096,        000,           000,             014,  031,        001,         074
=:1:ordenação====================,            000,            000,          000,          000,             000,            000,      031,            000,   000,          006,          000,             031,    000,                  000,          031,      000,      000,     000,         031,      000,          000,          069,             000,      031,            000,         000,           000,     000,           000,        008,        000,           000,             000,  007,        000,         020
=:1:árvore=======================,            000,            000,          000,          005,             005,            000,      000,            000,   004,          050,          004,             000,    004,                  041,          067,      000,      004,     000,         000,      000,          000,          004,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  004,        000,         040
=:1:recursão-padrões-e-conceitos=,            000,            000,          000,          000,             000,            000,      000,            000,   000,          000,          000,             000,    000,                  000,          000,      000,      000,     000,         000,      000,          000,          000,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  000,        000,         000
=:1:pilha-e-fila=================,            000,            000,          000,          000,             000,            000,      000,            000,   000,          000,          000,             000,    000,                  000,          000,      000,      000,     000,         000,      000,          000,          000,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  000,        000,         000
